Order Number,Order Date and Time,Order_City,Restaurant Type,Total Bill (in Saudi Riyals),Delivery Duration (in minutes),Customer Rating (from 1 to 5 stars)
254,5/13/2023 0:40,Riyadh,Indian Cuisine,797.45,19,1
255,12/9/2023 19:41,Dammam,Fast Food,568.73,7,3
256,11/26/2023 7:54,Riyadh,Barbecue,608.98,11,2
257,7/12/2023 1:59,Jeddah,Barbecue,253.03,14,1
258,1/29/2023 5:17,Jeddah,Sweets,119.92,14,2
259,10/23/2024 23:13,Medina,Coffee,340.49,7,5
260,1/11/2023 3:25,Jeddah,Sushi,372.51,19,3
261,2/16/2022 8:01,Riyadh,Seafood,135.02,18,2
262,9/27/2022 12:14,Dammam,Coffee,215.22,7,5
263,5/19/2024 13:58,Buraidah,Vegetarian/Vegan,289.57,18,3
264,5/5/2023 13:07,Buraidah,Italian Cuisine,537.13,19,1
265,9/8/2024 2:18,Khobar,Vegetarian/Vegan,558.05,10,2
266,10/5/2022 13:41,Riyadh,Indian Cuisine,455.12,6,1
267,2/20/2023 9:03,Abha,Vegetarian/Vegan,496.34,6,4
268,9/3/2024 7:40,Tabuk,Seafood,677.45,6,3
269,1/28/2024 1:30,Medina,Burger,688.84,16,2
270,5/11/2023 4:04,Medina,Seafood,728.10,10,3
271,3/25/2024 2:02,Riyadh,Sweets,467.26,12,3
272,4/15/2024 11:20,Jeddah,Sweets,84.78,12,5
273,6/14/2024 16:42,Riyadh,Pizzeria,484.92,17,4
274,7/18/2024 11:33,Mecca,Seafood,729.89,11,5
275,4/14/2023 12:35,Hail,Seafood,367.84,4,3
276,1/6/2025 17:10,Jeddah,Fast Food,275.91,13,3
277,10/4/2022 10:53,Abha,Fast Food,544.11,17,1
278,6/16/2022 14:56,Khobar,Indian Cuisine,99.91,15,2
279,10/30/2023 18:25,Hail,Italian Cuisine,297.01,16,3
280,4/24/2023 13:10,Jeddah,Seafood,514.09,7,5
281,6/22/2023 16:24,Medina,Vegetarian/Vegan,71.37,13,3
282,4/19/2023 18:16,Medina,Sweets,298.61,18,5
283,7/2/2024 2:01,Abha,Coffee,232.22,8,4
284,11/25/2023 9:41,Khobar,Barbecue,180.87,9,3
285,8/19/2022 11:15,Khobar,Barbecue,439.82,18,4
286,11/9/2024 8:03,Hail,Italian Cuisine,102.96,7,3
287,7/17/2022 10:54,Medina,Vegetarian/Vegan,311.73,8,4
288,8/25/2022 3:43,Jeddah,Bakeries,183.81,13,3
289,1/17/2022 12:27,Riyadh,Sushi,700.77,18,3
290,1/17/2022 0:09,Khobar,Sweets,455.66,4,3
291,12/27/2023 5:47,Riyadh,Pizzeria,50.01,13,4
292,8/16/2022 2:58,Khobar,Sushi,315.51,13,2
293,9/1/2024 5:23,Jeddah,Fast Food,534.68,15,4
294,4/3/2024 9:26,Buraidah,Bakeries,763.65,4,2
295,9/13/2023 15:05,Mecca,Seafood,714.08,19,5
296,6/27/2022 0:35,Buraidah,Fast Food,37.92,16,4
297,1/18/2025 14:09,Dammam,Coffee,422.21,14,1
298,4/12/2023 2:21,Buraidah,Indian Cuisine,371.23,8,2
299,12/26/2022 2:47,Khobar,Vegetarian/Vegan,712.53,6,4
300,2/29/2024 17:58,Abha,Fast Food,669.44,13,2
301,2/18/2022 17:39,Khobar,Pizzeria,536.92,8,2
302,9/2/2024 9:40,Mecca,Pizzeria,633.76,11,3
303,11/29/2023 22:03,Hail,Burger,365.16,6,1
304,11/29/2024 3:11,Abha,Fast Food,400.02,8,5
305,8/15/2022 19:37,Buraidah,Vegetarian/Vegan,585.56,20,4
306,9/14/2022 4:55,Mecca,Bakeries,129.65,15,5
307,12/10/2023 17:58,Medina,Vegetarian/Vegan,202.30,15,2
308,11/28/2023 11:29,Buraidah,Vegetarian/Vegan,37.56,18,2
309,4/6/2022 8:22,Khobar,Bakeries,480.54,6,3
310,2/13/2022 23:38,Hail,Barbecue,195.66,18,4
311,9/22/2023 8:06,Khobar,Sweets,686.52,5,4
312,2/21/2024 7:16,Jeddah,Seafood,111.21,13,1
313,8/26/2024 6:38,Dammam,Sushi,54.16,17,4
314,2/12/2023 22:35,Khobar,Sushi,469.65,16,1
315,11/22/2022 23:12,Khobar,Barbecue,74.95,10,4
316,3/29/2022 8:55,Khobar,Sushi,156.71,16,3
317,2/23/2023 11:46,Buraidah,Coffee,333.40,17,3
318,4/9/2023 3:29,Dammam,Vegetarian/Vegan,559.29,4,3
319,4/30/2022 7:21,Jeddah,Seafood,334.76,8,5
320,6/12/2024 9:09,Buraidah,Coffee,173.06,18,3
321,11/2/2022 10:10,Medina,Seafood,602.95,10,2
322,6/30/2024 6:42,Hail,Fast Food,683.24,12,2
323,8/25/2024 3:21,Khobar,Bakeries,205.19,18,4
324,11/27/2023 23:34,Khobar,Vegetarian/Vegan,444.15,12,1
325,6/2/2024 15:19,Riyadh,Burger,42.70,13,4
326,9/20/2022 15:26,Medina,Vegetarian/Vegan,654.25,9,4
327,10/31/2024 3:21,Medina,Indian Cuisine,370.88,18,5
328,4/26/2022 13:10,Khobar,Fast Food,255.92,18,1
329,1/18/2024 12:14,Hail,Burger,494.60,5,1
330,11/24/2022 2:18,Jeddah,Barbecue,429.02,19,2
331,11/13/2022 22:47,Jeddah,Italian Cuisine,565.92,12,2
332,1/13/2023 13:42,Abha,Indian Cuisine,436.33,13,4
333,3/6/2023 2:13,Tabuk,Seafood,264.07,12,4
334,5/7/2023 21:18,Hail,Sweets,234.83,7,4
335,10/29/2024 2:15,Dammam,Burger,625.57,4,2
336,7/13/2024 12:13,Jeddah,Italian Cuisine,95.89,17,2
337,12/27/2024 7:26,Riyadh,Fast Food,166.71,8,4
338,12/21/2022 15:22,Mecca,Sushi,396.58,5,5
339,3/7/2023 3:17,Abha,Indian Cuisine,55.00,8,4
340,4/4/2022 21:08,Tabuk,Seafood,180.84,7,1
341,8/28/2023 1:09,Abha,Sushi,625.98,8,1
342,9/14/2024 19:34,Mecca,Barbecue,618.08,9,4
343,1/2/2024 22:18,Riyadh,Barbecue,792.76,17,4
344,7/22/2022 17:17,Buraidah,Vegetarian/Vegan,542.53,15,3
345,4/5/2023 10:58,Mecca,Fast Food,419.59,8,3
346,1/15/2023 8:44,Dammam,Seafood,513.24,17,3
347,6/27/2024 5:26,Abha,Italian Cuisine,274.70,19,3
348,8/5/2022 11:55,Dammam,Barbecue,541.86,7,4
349,9/29/2024 10:09,Mecca,Burger,315.27,20,1
350,12/14/2022 12:46,Dammam,Vegetarian/Vegan,161.50,14,4
351,6/5/2022 2:53,Abha,Coffee,379.51,11,1
352,8/9/2023 17:05,Tabuk,Fast Food,156.91,13,5
353,7/24/2024 9:51,Tabuk,Burger,340.01,18,3
354,6/13/2023 5:57,Tabuk,Bakeries,119.21,14,3
355,4/5/2023 17:14,Buraidah,Coffee,386.56,16,2
356,1/30/2024 10:18,Medina,Pizzeria,790.28,11,2
357,11/7/2022 18:52,Medina,Fast Food,388.13,20,2
358,1/13/2022 18:09,Abha,Seafood,144.79,7,4
359,8/31/2024 3:11,Jeddah,Bakeries,109.51,15,3
360,12/27/2024 20:23,Mecca,Sweets,555.41,5,2
361,6/19/2024 0:39,Khobar,Coffee,453.49,6,5
362,10/11/2024 20:11,Jeddah,Vegetarian/Vegan,641.00,9,5
363,8/24/2024 3:32,Riyadh,Indian Cuisine,744.27,4,2
364,5/20/2024 22:12,Medina,Pizzeria,501.14,16,2
365,8/25/2024 11:10,Mecca,Burger,382.41,10,4
366,8/28/2022 7:10,Khobar,Vegetarian/Vegan,281.25,6,3
367,4/2/2022 23:45,Riyadh,Seafood,406.20,6,2
368,7/28/2022 11:23,Riyadh,Italian Cuisine,209.32,9,3
369,8/16/2024 18:55,Jeddah,Barbecue,504.99,18,3
370,5/24/2024 4:19,Khobar,Italian Cuisine,412.68,9,1
371,8/25/2023 20:56,Khobar,Seafood,517.40,10,3
372,9/14/2023 0:57,Hail,Sushi,56.49,8,5
373,2/17/2022 8:54,Mecca,Indian Cuisine,496.61,11,2
374,3/2/2024 13:11,Dammam,Barbecue,82.79,6,4
375,7/28/2024 20:06,Medina,Bakeries,560.91,11,3
376,12/30/2023 11:45,Abha,Bakeries,87.59,18,4
377,10/19/2024 15:58,Khobar,Fast Food,558.14,15,4
378,1/27/2025 22:44,Hail,Vegetarian/Vegan,460.69,17,2
379,8/11/2024 12:52,Dammam,Seafood,553.61,6,3
380,8/15/2023 10:45,Abha,Sushi,231.58,12,4
381,3/7/2022 9:47,Khobar,Indian Cuisine,173.10,14,2
382,12/4/2024 12:33,Riyadh,Burger,435.83,9,4
383,6/30/2022 3:57,Tabuk,Vegetarian/Vegan,709.57,12,1
384,10/12/2023 16:38,Jeddah,Vegetarian/Vegan,703.36,4,4
385,6/6/2023 22:59,Abha,Barbecue,72.86,12,2
386,4/17/2024 23:30,Medina,Sweets,513.94,8,3
387,12/27/2023 8:34,Khobar,Vegetarian/Vegan,248.24,5,2
388,11/27/2024 23:08,Buraidah,Sweets,512.00,9,5
389,6/30/2023 18:14,Riyadh,Bakeries,335.52,6,1
390,10/19/2023 9:58,Medina,Vegetarian/Vegan,239.72,14,3
391,11/13/2023 13:36,Medina,Seafood,177.97,13,1
392,5/13/2023 19:23,Hail,Sushi,652.53,13,3
393,1/13/2023 8:00,Tabuk,Italian Cuisine,281.34,19,4
394,10/13/2022 2:20,Khobar,Fast Food,784.54,5,5
395,11/6/2022 7:51,Abha,Burger,546.94,5,4
396,3/11/2023 10:21,Tabuk,Barbecue,598.05,15,3
397,3/28/2024 12:14,Tabuk,Barbecue,431.07,4,3
398,7/7/2023 11:05,Mecca,Sushi,729.90,7,5
399,10/24/2022 23:43,Buraidah,Italian Cuisine,541.22,18,3
400,4/6/2023 13:01,Buraidah,Fast Food,80.79,16,4
401,3/15/2023 22:31,Buraidah,Barbecue,454.51,10,3
402,7/6/2023 13:48,Riyadh,Bakeries,527.16,17,5
403,8/17/2023 19:31,Tabuk,Vegetarian/Vegan,529.27,12,3
404,7/20/2022 10:36,Tabuk,Indian Cuisine,646.94,7,3
405,11/15/2022 9:39,Dammam,Italian Cuisine,308.39,17,5
406,9/22/2022 15:45,Abha,Fast Food,225.49,14,4
407,8/26/2022 11:52,Dammam,Italian Cuisine,301.01,16,4
408,6/12/2022 22:45,Abha,Bakeries,534.21,13,2
409,1/18/2024 22:27,Abha,Indian Cuisine,183.23,13,3
410,5/5/2024 19:36,Riyadh,Indian Cuisine,152.94,20,5
411,5/1/2022 0:30,Hail,Barbecue,421.05,9,2
412,8/12/2022 6:32,Tabuk,Seafood,798.00,19,2
413,11/15/2024 13:49,Buraidah,Burger,266.21,12,3
414,7/5/2022 10:07,Jeddah,Burger,211.10,16,4
415,1/4/2025 22:27,Abha,Sweets,341.17,11,1
416,11/2/2022 7:36,Abha,Indian Cuisine,455.19,17,3
417,12/7/2023 11:19,Riyadh,Vegetarian/Vegan,546.34,10,3
418,1/20/2025 17:05,Riyadh,Seafood,697.32,5,3
419,9/13/2023 6:16,Khobar,Italian Cuisine,545.18,14,2
420,8/31/2023 8:36,Jeddah,Seafood,70.55,11,5
421,12/28/2022 20:20,Buraidah,Pizzeria,769.06,9,4
422,4/27/2022 13:22,Riyadh,Fast Food,718.18,11,4
423,3/9/2023 6:30,Khobar,Burger,226.78,13,3
424,2/5/2024 5:51,Jeddah,Seafood,63.92,17,4
425,1/14/2023 23:56,Jeddah,Pizzeria,557.87,19,5
426,4/6/2023 1:26,Buraidah,Burger,783.68,13,1
427,6/11/2024 17:42,Khobar,Sweets,630.02,8,2
428,3/28/2023 9:22,Mecca,Vegetarian/Vegan,169.69,16,3
429,1/21/2025 6:43,Buraidah,Coffee,561.76,17,1
430,1/14/2023 3:15,Buraidah,Indian Cuisine,625.36,7,4
431,4/1/2022 15:21,Jeddah,Sushi,310.21,12,5
432,3/31/2022 5:01,Medina,Vegetarian/Vegan,609.05,5,2
433,5/30/2024 7:33,Abha,Sushi,690.08,6,4
434,2/27/2022 10:35,Hail,Coffee,736.52,18,3
435,1/26/2023 16:15,Hail,Seafood,257.90,14,2
436,3/1/2024 13:59,Tabuk,Fast Food,709.25,9,2
437,10/6/2023 17:33,Buraidah,Coffee,150.98,4,5
438,8/30/2024 2:08,Buraidah,Sweets,432.73,7,2
439,7/27/2024 17:57,Buraidah,Indian Cuisine,224.94,10,3
440,6/7/2022 18:48,Abha,Barbecue,125.78,6,4
441,3/13/2024 17:08,Dammam,Barbecue,608.45,19,4
442,5/12/2023 9:27,Hail,Fast Food,53.97,12,5
443,6/22/2022 12:43,Tabuk,Burger,565.70,15,2
444,10/19/2023 23:03,Abha,Burger,664.67,7,2
445,3/30/2023 12:23,Jeddah,Vegetarian/Vegan,520.07,15,3
446,6/27/2022 5:02,Medina,Sweets,681.79,18,3
447,1/20/2022 23:30,Mecca,Fast Food,783.85,10,3
448,11/9/2023 0:18,Tabuk,Fast Food,328.29,20,1
449,3/8/2022 1:05,Mecca,Vegetarian/Vegan,728.33,10,2
450,1/31/2022 5:52,Mecca,Indian Cuisine,109.54,13,4
451,5/13/2024 9:02,Medina,Barbecue,613.21,17,2
452,1/28/2022 13:34,Khobar,Italian Cuisine,388.85,18,2
453,12/3/2023 14:27,Dammam,Pizzeria,170.36,11,2
454,3/15/2023 18:07,Abha,Coffee,780.78,18,4
455,12/16/2022 2:09,Medina,Barbecue,98.78,17,4
456,8/19/2024 6:17,Jeddah,Sushi,39.50,12,4
457,7/8/2022 14:24,Abha,Barbecue,589.15,19,3
458,9/27/2022 9:21,Tabuk,Barbecue,175.27,17,2
459,3/1/2023 8:26,Mecca,Coffee,550.60,5,1
460,5/5/2024 10:51,Abha,Vegetarian/Vegan,698.89,7,5
461,8/8/2022 23:14,Dammam,Pizzeria,397.65,7,2
462,3/21/2022 11:42,Khobar,Burger,124.38,7,1
463,1/12/2023 12:41,Abha,Pizzeria,563.56,17,3
464,1/17/2025 17:00,Tabuk,Seafood,370.53,15,2
465,12/26/2024 3:13,Khobar,Sushi,769.53,16,2
466,6/20/2022 20:33,Mecca,Sweets,300.79,8,3
467,4/24/2023 18:22,Jeddah,Seafood,310.41,16,5
468,1/28/2023 0:18,Mecca,Coffee,608.71,19,2
469,10/16/2022 6:41,Mecca,Seafood,347.08,14,2
470,9/13/2023 14:25,Dammam,Coffee,639.56,16,3
471,1/16/2025 20:15,Abha,Coffee,296.42,11,2
472,4/16/2022 17:32,Abha,Fast Food,162.94,9,1
473,7/27/2023 18:24,Hail,Seafood,624.23,19,5
474,8/16/2024 12:41,Tabuk,Indian Cuisine,748.23,11,2
475,3/25/2023 17:08,Dammam,Fast Food,300.52,8,4
476,4/19/2024 22:48,Jeddah,Indian Cuisine,797.93,20,4
477,1/1/2024 9:04,Hail,Indian Cuisine,289.24,14,4
478,3/17/2024 7:43,Jeddah,Barbecue,505.53,9,4
479,8/26/2024 11:45,Dammam,Indian Cuisine,332.11,11,5
480,12/27/2024 13:19,Tabuk,Sweets,88.84,11,1
481,5/12/2024 5:26,Jeddah,Seafood,447.96,14,4
482,9/26/2024 11:21,Dammam,Bakeries,340.67,16,5
483,2/26/2023 10:04,Riyadh,Barbecue,41.16,14,2
484,10/17/2023 23:30,Abha,Barbecue,705.75,7,5
485,2/5/2022 22:51,Jeddah,Coffee,145.04,13,2
486,3/8/2022 20:21,Mecca,Pizzeria,525.00,11,3
487,5/28/2024 22:49,Abha,Vegetarian/Vegan,419.10,9,4
488,3/28/2022 14:04,Khobar,Pizzeria,149.22,13,4
489,5/27/2022 8:19,Abha,Italian Cuisine,799.29,5,5
490,5/11/2024 13:15,Buraidah,Sweets,753.29,14,2
491,1/4/2025 15:27,Medina,Sushi,259.86,5,3
492,1/17/2024 1:22,Jeddah,Pizzeria,233.49,12,2
493,1/26/2024 14:28,Abha,Bakeries,771.22,18,2
494,11/30/2024 21:46,Riyadh,Burger,504.12,20,4
495,9/6/2024 11:29,Tabuk,Seafood,490.05,7,4
496,12/13/2022 21:11,Abha,Indian Cuisine,673.36,7,4
497,7/27/2022 13:23,Hail,Seafood,551.71,17,2
498,6/28/2024 7:48,Jeddah,Sweets,418.17,7,4
499,9/25/2023 23:55,Mecca,Italian Cuisine,275.31,10,2
500,3/1/2024 0:00,Riyadh,Sweets,765.19,12,2
501,10/13/2024 7:56,Jeddah,Barbecue,499.52,19,3
502,7/31/2024 15:12,Dammam,Vegetarian/Vegan,58.46,13,1
503,9/7/2024 8:19,Abha,Indian Cuisine,119.02,14,2
504,11/30/2022 2:07,Hail,Barbecue,278.48,18,5
505,5/13/2024 22:17,Buraidah,Vegetarian/Vegan,554.81,10,4
506,4/25/2023 15:53,Medina,Vegetarian/Vegan,610.30,16,5
507,6/8/2024 4:56,Dammam,Fast Food,67.99,6,3
508,3/21/2023 9:38,Buraidah,Fast Food,248.84,13,3
509,8/5/2022 13:44,Jeddah,Sweets,609.19,18,3
510,2/12/2022 12:46,Jeddah,Sweets,245.49,8,4
511,3/2/2022 18:23,Abha,Burger,705.48,4,2
512,1/31/2023 5:48,Khobar,Seafood,127.91,5,4
513,6/23/2022 6:19,Abha,Italian Cuisine,671.31,18,4
514,10/13/2022 4:09,Tabuk,Pizzeria,434.54,19,1
515,11/21/2023 15:11,Mecca,Indian Cuisine,634.54,7,3
516,1/9/2023 9:30,Jeddah,Bakeries,281.39,18,2
517,5/19/2022 23:54,Mecca,Sushi,280.43,19,4
518,10/19/2024 15:13,Riyadh,Barbecue,59.55,17,3
519,9/1/2023 23:42,Abha,Indian Cuisine,160.41,15,3
520,8/28/2022 16:37,Mecca,Italian Cuisine,369.63,10,4
521,1/15/2022 12:09,Khobar,Sweets,160.62,19,5
522,1/6/2024 23:38,Hail,Italian Cuisine,568.23,18,2
523,3/14/2024 13:26,Hail,Coffee,336.01,10,4
524,12/29/2024 19:06,Hail,Sweets,659.87,8,2
525,3/3/2023 2:32,Buraidah,Burger,754.27,4,2
526,8/29/2022 1:07,Riyadh,Italian Cuisine,67.09,5,2
527,5/16/2024 3:26,Dammam,Sweets,600.34,10,2
528,9/24/2024 22:02,Riyadh,Coffee,455.91,10,4
529,6/10/2023 1:02,Tabuk,Coffee,714.11,6,3
530,12/5/2024 9:27,Jeddah,Indian Cuisine,228.61,17,3
531,7/25/2022 8:27,Dammam,Pizzeria,226.34,20,4
532,3/26/2022 18:54,Medina,Indian Cuisine,241.78,9,2
533,10/20/2023 9:35,Jeddah,Bakeries,472.52,15,3
534,10/10/2022 0:53,Abha,Vegetarian/Vegan,719.21,8,1
535,7/9/2024 5:02,Tabuk,Sushi,38.80,17,3
536,12/3/2022 11:54,Tabuk,Italian Cuisine,132.51,13,2
537,1/29/2023 7:12,Mecca,Sweets,242.70,6,3
538,2/11/2023 22:10,Mecca,Bakeries,747.49,15,5
539,2/26/2023 21:37,Abha,Indian Cuisine,204.58,10,4
540,2/2/2024 18:24,Abha,Burger,145.16,8,2
541,3/3/2022 3:51,Dammam,Burger,346.96,12,4
542,2/5/2022 19:32,Riyadh,Vegetarian/Vegan,426.69,11,3
543,9/2/2022 1:48,Riyadh,Pizzeria,745.38,12,5
544,2/18/2024 12:59,Khobar,Seafood,610.05,13,4
545,10/24/2022 8:19,Jeddah,Sweets,94.13,13,4
546,8/2/2023 2:58,Khobar,Pizzeria,169.33,5,1
547,1/15/2022 10:35,Mecca,Indian Cuisine,289.50,13,3
548,3/4/2024 6:14,Riyadh,Bakeries,492.23,18,3
549,9/28/2024 7:33,Riyadh,Barbecue,418.75,13,4
550,6/16/2022 20:41,Abha,Sushi,798.71,14,1
551,12/8/2024 11:40,Khobar,Sushi,339.50,12,5
552,4/21/2024 3:38,Hail,Barbecue,226.84,11,4
553,10/2/2022 4:24,Mecca,Vegetarian/Vegan,721.22,12,3
554,1/23/2024 13:21,Dammam,Italian Cuisine,400.34,13,4
555,11/7/2024 14:21,Khobar,Burger,790.79,19,3
556,7/25/2022 18:16,Tabuk,Pizzeria,568.70,11,5
557,9/4/2022 23:57,Mecca,Italian Cuisine,70.79,16,2
558,10/11/2022 18:14,Hail,Coffee,348.09,16,5
559,1/3/2022 19:40,Riyadh,Indian Cuisine,606.10,14,4
560,2/2/2023 20:27,Hail,Sweets,186.14,16,4
561,4/10/2022 3:54,Jeddah,Coffee,716.77,11,3
562,3/18/2024 14:10,Abha,Barbecue,387.59,13,4
563,10/20/2023 15:14,Dammam,Vegetarian/Vegan,680.53,11,4
564,8/2/2023 6:16,Abha,Bakeries,788.94,17,4
565,9/19/2023 9:29,Dammam,Coffee,39.89,6,4
566,10/8/2022 18:51,Jeddah,Barbecue,110.96,12,1
567,7/18/2022 9:04,Medina,Fast Food,225.55,15,4
568,9/28/2024 15:20,Hail,Fast Food,195.93,17,3
569,12/29/2023 14:47,Khobar,Seafood,146.22,7,4
570,11/10/2022 14:18,Jeddah,Sushi,192.95,12,2
571,3/21/2024 3:23,Mecca,Burger,429.08,17,3
572,6/16/2024 10:39,Mecca,Bakeries,599.56,14,3
573,1/15/2025 13:23,Dammam,Coffee,366.53,13,5
574,5/11/2024 11:42,Jeddah,Sushi,130.86,8,2
575,6/4/2023 10:42,Buraidah,Burger,68.27,4,2
576,8/26/2023 23:16,Medina,Italian Cuisine,194.75,8,2
577,5/8/2023 1:30,Mecca,Fast Food,334.58,14,1
578,7/7/2023 16:49,Jeddah,Vegetarian/Vegan,363.42,10,1
579,1/29/2024 6:03,Buraidah,Seafood,184.31,15,5
580,7/11/2023 18:00,Riyadh,Italian Cuisine,687.31,12,1
581,11/7/2023 10:16,Khobar,Sushi,170.30,11,2
582,4/29/2024 19:55,Medina,Pizzeria,182.23,11,3
583,4/1/2023 10:35,Tabuk,Pizzeria,428.57,7,4
584,10/11/2022 2:31,Jeddah,Sweets,131.91,13,3
585,2/28/2022 11:57,Jeddah,Seafood,575.01,9,1
586,12/30/2024 1:22,Abha,Coffee,566.45,6,2
587,8/25/2023 18:51,Medina,Coffee,208.90,17,5
588,3/4/2022 23:43,Abha,Vegetarian/Vegan,84.21,10,2
589,5/20/2022 16:39,Dammam,Bakeries,603.49,12,2
590,10/28/2024 12:47,Buraidah,Bakeries,579.76,9,3
591,7/22/2024 18:26,Tabuk,Fast Food,384.34,6,2
592,8/23/2024 19:49,Hail,Burger,479.89,16,4
593,7/3/2024 15:49,Khobar,Vegetarian/Vegan,435.89,11,4
594,11/2/2024 9:45,Jeddah,Sweets,756.22,10,1
595,3/30/2022 21:42,Tabuk,Burger,425.53,8,5
596,5/3/2023 6:21,Tabuk,Barbecue,640.16,10,4
597,1/7/2024 12:31,Medina,Italian Cuisine,566.93,13,5
598,1/21/2022 5:07,Riyadh,Bakeries,288.16,9,1
599,12/9/2023 15:44,Buraidah,Seafood,619.62,7,4
600,1/30/2022 2:54,Hail,Seafood,420.07,13,5
601,4/5/2024 4:38,Jeddah,Fast Food,302.93,7,2
602,1/23/2023 19:35,Khobar,Indian Cuisine,553.04,13,2
603,1/16/2022 8:37,Dammam,Coffee,478.84,18,3
604,12/23/2023 8:44,Dammam,Sushi,508.71,7,3
605,9/21/2022 0:11,Hail,Vegetarian/Vegan,735.57,9,5
606,3/2/2024 21:06,Jeddah,Seafood,620.26,12,2
607,2/18/2024 21:21,Riyadh,Vegetarian/Vegan,259.61,14,3
608,9/2/2023 7:20,Buraidah,Sweets,233.80,16,2
609,5/29/2022 20:27,Jeddah,Italian Cuisine,577.49,4,5
610,1/22/2023 14:30,Jeddah,Sushi,406.92,7,1
611,9/25/2023 15:18,Abha,Sushi,361.16,9,4
612,7/20/2024 10:55,Khobar,Barbecue,793.20,10,3
613,12/9/2024 4:47,Mecca,Italian Cuisine,788.39,12,2
614,6/5/2023 5:02,Hail,Italian Cuisine,178.64,19,5
615,1/17/2024 1:18,Mecca,Vegetarian/Vegan,521.23,4,3
616,10/11/2022 17:25,Khobar,Coffee,200.33,14,5
617,11/14/2024 17:27,Khobar,Fast Food,788.62,8,2
618,3/28/2022 19:48,Khobar,Burger,222.27,10,5
619,3/9/2023 12:38,Riyadh,Fast Food,214.56,8,4
620,7/3/2024 16:03,Abha,Barbecue,794.21,4,4
621,5/27/2024 5:24,Khobar,Seafood,735.62,10,4
622,10/10/2024 18:18,Jeddah,Fast Food,362.56,5,1
623,10/18/2022 8:34,Mecca,Barbecue,387.38,17,3
624,8/29/2023 14:37,Abha,Vegetarian/Vegan,532.63,19,2
